ThreeDigitZips
PHOENIX AZ 852
PHOENIX AZ 853
PIERRE SD 575
PIKEVILLE KY 415
PIKEVILLE KY 416
PINE BLUFF AR 716
PITTSBURGH PA 150
PITTSBURGH PA 151
PITTSBURGH PA 152U
PITTSBURGH PA 153
PITTSBURGH PA 154
PITTSFIELD MA 012
PLATTSBURGH NY 129
POCATELLO ID 832
POCATELLO ID 834
PONCA CITY OK 746
PORTAGE WI 539
PORTLAND ME 040
PORTLAND ME 041U
PORTLAND ME 042
PORTLAND ME 043
PORTLAND ME 045
PORTLAND ME 048
PORTLAND OR 970
PORTLAND OR 971
PORTLAND OR 972U
PORTLAND OR 986
PORTSMOUTH NH 038
PORTSMOUTH NH 039
PORTSMOUTH VA 237U
POTEAU OK 749
POUGHKEEPSIE NY 126U
PRESCOTT AZ 863
PROVIDENCE RI 027
PROVIDENCE RI 028
PROVIDENCE RI 029U
PROVO UT 845
PROVO UT 846
PROVO UT 847
QUAD CITIES IL 527
QUAD CITIES IL 612
QUEENS NY 110
QUINCY IL 623
QUINCY IL 634
QUINCY IL 635
RACINE WI 534U
RALEIGH NC 275
RALEIGH NC 276U
RAPID CITY SD 577
RAWLINS WY 823
READING PA 179
READING PA 195
READING PA 196U
REDDING CA 960
RENO NV 894
RENO NV 895U
RENO NV 961
RHINELANDER WI 545
RICHMOND CA 948U
RICHMOND VA 224
RICHMOND VA 225
RICHMOND VA 230
RICHMOND VA 231
RICHMOND VA 232U
RICHMOND VA 238
RIVERTON WY 825
ROANOKE VA 240
ROANOKE VA 241
ROANOKE VA 243
ROCHESTER MN 559
ROCHESTER NY 144
ROCHESTER NY 145
ROCHESTER NY 146U
ROCK SPRINGS WY 829
ROCK SPRINGS WY 830
ROCK SPRINGS WY 831
ROCKFORD IL 610
ROCKFORD IL 611U
ROCKY MOUNT NC 278
ROCKY MOUNT NC 279
ROSWELL NM 882
ROYAL OAK MI 480
ROYAL OAK MI 483
RUSSELLVILLE AR 728
S SUBURBAN IL 604
SACRAMENTO CA 942U
SACRAMENTO CA 956
SACRAMENTO CA 957
SACRAMENTO CA 958U
SAGINAW MI 486
SAGINAW MI 487
SALEM OR 973
SALIDA CO 812
SALINA KS 669
SALINA KS 674
SALINAS CA 939
SALISBURY MD 218
SALT LAKE CTY UT 840
SALT LAKE CTY UT 841U
SALT LAKE CTY UT 842
SALT LAKE CTY UT 843
SAN ANTONIO TX 780
SAN ANTONIO TX 781
SAN ANTONIO TX 782U
SAN ANTONIO TX 788
SAN DIEGO CA 919
SAN DIEGO CA 920
SAN DIEGO CA 921U
SAN FRANCISCO CA 940
SAN FRANCISCO CA 941U
SAN JOSE CA 950
SAN JOSE CA 951U
SAN JUAN PR 006
SAN JUAN PR 007
SAN JUAN PR 008
SAN JUAN PR 009U
SAN MATEO CA 944U
SANTA ANA CA 926
SANTA ANA CA 927U
SANTA BARBARA CA 931U
SANTA BARBARA CA 934
SANTA MONICA CA 904U
SAVANNAH GA 299
SAVANNAH GA 313
